post-attention projection norm w/ residual conn,post-attention projection norm w/o residual conn,post-mlp projection norm w/ residual conn,post-mlp projection norm w/o residual conn
25.5,1.421875,3.84375,3.0625
19.375,1.890625,3.640625,4.90625
6.5625,1.9375,4.375,4.84375
11.9375,1.546875,5.375,5.78125
21.375,1.1953125,2.90625,3.15625
28.0,2.1875,5.65625,6.125
14.9375,2.25,3.921875,3.78125
19.25,1.59375,4.59375,5.3125
26.25,1.15625,3.921875,3.703125
16.625,0.79296875,5.65625,5.46875
41.5,3.28125,8.125,5.53125
6.6875,2.8125,3.09375,3.71875
11.125,7.1875,6.84375,3.84375
20.0,5.0,6.6875,3.328125
20.25,6.4375,7.0,3.734375
21.875,3.28125,7.90625,7.6875
